Ocean,site,co_type,CO
Atlantic,Saguenay-St. Lawrence Marine Park,Ecological,"Ensure the protection of key components of the ecosystems and of other fragile, unique or highly representative elements."
Atlantic,Saguenay-St. Lawrence Marine Park,Ecological,"Protect rare species and populations that in decline, threatened or vulnerable and, in particular, ensure the protection, restoration or improvement of habitats essential to the survival of species."
Atlantic,Saguenay-St. Lawrence Marine Park,Ecological,Foster the development of a culture of conservation in residents of the coordination zone.
Atlantic,Saguenay-St. Lawrence Marine Park,Social,Implement environmental monitoring mechanisms so as to learn more about and measure the evolution of the ecosystems in the Marine Park and the effectiveness of the management terms.
Atlantic,Saguenay-St. Lawrence Marine Park,Social,Encourage the work done by research centres and arouse the interest of academia to produce theses and conduct research in areas relating to the natural and cultural heritage.
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Strengthen the relationship between the Haida Nation and Canada
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Improve coordination between the AMB and relevant initiatives and associated organizations
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Ecological,"Protect and conserve habitats, species and food webs in Gwaii Haanas"
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Ecological,"Restore habitats, species and food webs in Gwaii Haanas"
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Continue to support a living Haida culture and economy
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Protect features of spiritual and cultural importance
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Ensure tourism in Gwaii Haanas is ecologically sustainable
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Ecological,Ensure fisheries in Gwaii Haanas are ecologically sustainable
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Work with relevant agencies to manage and monitor vessel traffic to minimize impacts to Gwaii Haanas
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Improve local benefits from activities in Gwaii Haanas
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Reduce the environmental impacts of operations in Gwaii Haanas
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Support and further develop the Gwaii Haanas monitoring program
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Promote and advance research that supports decision making in Gwaii Haanas
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,"Increase awareness of, and connection to, Gwaii Haanas at local, national and international levels"
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Build awareness of the Gwaii Haanas cooperative management relationship
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Maintain or increase visitor satisfaction
Pacific,Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site,Social,Increase opportunities for learning in Gwaii Haanas
Arctic,Tallurutiup Imanga National Marine Conservation Area,Ecological,The natural and cultural heritage of Tallurutiup Imanga is protected and conserved
Arctic,Tallurutiup Imanga National Marine Conservation Area,Ecological,"The sustainable use of marine and terrestrial resources in Tallurutiup Imanga NMCA respects Inuit rights, results in economic and social benefits for Inuit, and enhances the well-being of the associated communities"
Arctic,Tallurutiup Imanga National Marine Conservation Area,Social,"Collaborative research and monitoring increases awareness of Tallurutiup Imanga NMCA, informs decision making, and promotes knowledge collection and sharing"
Arctic,Tallurutiup Imanga National Marine Conservation Area,Social,"Collaborative and coordinated prevention, preparedness, and response planning increases safety of the associated communities and NMCA users and the protection of Tallurutiup Imanga"
