"site","n_obj","n_vul","n_rob","categorization","ocean","bioregion","type","area"
"Anguniaqvia niqiqyuam Marine Protected Area",2,2,0,"high","Arctic","Western Arctic","MPA",2319.96
"Banc-des-Américains Marine Protected Area",3,1,2,"medium","Atlantic","Gulf of Saint Lawrence","MPA",126.55
"Banks marine refuge",1,0,1,"low","Pacific","Northern Shelf","Marine Refuge",433.55
"Basin Head Marine Protected Area",4,4,0,"high","Atlantic","Gulf of Saint Lawrence","MPA",0.24
"Bay of Islands Salmon Migration Closure",1,1,0,"high","Atlantic","Gulf of Saint Lawrence","Marine Refuge",217.46
"Beaugé Bank Sponge Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",214.56
"Central Gulf of St. Lawrence Coral Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",1284.18
"Corsair and Georges Canyons Conservation Area (restricted bottom fisheries zone)",1,0,1,"low","Atlantic","Scotian Shelf","Marine Refuge",8797.33
"Davis Strait Conservation Area",1,0,1,"low","Arctic","Eastern Arctic","Marine Refuge",17297.69
"Disko Fan Conservation Area (portion closed to all bottom-contact fishing)",1,0,1,"low","Arctic","Eastern Arctic","Marine Refuge",7485.31
"Division 3O Coral Closure",1,0,1,"low","Atlantic","Newfoundland-Labrador Shelves","Marine Refuge",10421.62
"East of Anticosti Island Sponge Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",939.44
"Eastern Canyons Conservation Area",2,1,1,"medium","Atlantic","Scotian Shelf","Marine Refuge",43976.25
"Eastern Gulf of St. Lawrence Coral Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",422.53
"Eastern Honguedo Strait Coral and Sponge Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",2337.99
"Eastport Marine Protected Area",2,1,1,"medium","Atlantic","Newfoundland-Labrador Shelves","MPA",2.1
"Emerald Basin Sponge Conservation Area",1,1,0,"high","Atlantic","Scotian Shelf","Marine Refuge",197.06
"Funk Island Deep Closure",1,1,0,"high","Atlantic","Newfoundland-Labrador Shelves","Marine Refuge",7274.21
"Gilbert Bay Marine Protected Area",2,2,0,"high","Atlantic","Newfoundland-Labrador Shelves","MPA",12.88
"Gully Marine Protected Area",4,1,3,"medium","Atlantic","Scotian Shelf","MPA",475.39
"Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site",3,0,3,"low","Pacific","Northern Shelf","National Marine Conservation Area",3473.17
"Gwa?xdlala/Nala?xdlala (Lull/Hoeya) marine refuge",1,0,1,"low","Pacific","Northern Shelf","Marine Refuge",21.38
"Gaw Kaahlii Marine Refuge",1,0,1,"low","Pacific","Northern Shelf","Marine Refuge",18.74
"Hatton Basin Conservation Area",1,0,1,"low","Arctic","Eastern Arctic","Marine Refuge",42459.18
"Hawke Channel Closure",1,1,0,"high","Atlantic","Newfoundland-Labrador Shelves","Marine Refuge",8836.57
"Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas",1,0,1,"low","Pacific","Northern Shelf","MPA",1502.37
"Hopedale Saddle Closure",1,0,1,"low","Atlantic","Newfoundland-Labrador Shelves","Marine Refuge",15410.94
"Jacques-Cartier Strait Sponge Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",345.51
"Jordan Basin Conservation Area",1,0,1,"low","Atlantic","Scotian Shelf","Marine Refuge",48.82
"Laurentian Channel Marine Protected Area",6,6,0,"high","Atlantic","Newfoundland-Labrador Shelves","MPA",1494.86
"Les Demoiselles nursery (Plaisance Bay), Magdalen Islands Closure",1,1,0,"high","Atlantic","Gulf of Saint Lawrence","Marine Refuge",0.33
"Lobster Area closures (Trout River, Shoal Point, Penguin Islands, Gooseberry Island, Glovers Harbour, Mouse Island and Gander Bay)",1,1,0,"high","Atlantic","Gulf of Saint Lawrence","Marine Refuge",94.6
"Magdalen Islands Lagoons Closures (6 Overlapping Closures)",1,1,0,"high","Atlantic","Gulf of Saint Lawrence","Marine Refuge",135.55
"Miramichi Bay Closure",1,1,0,"high","Atlantic","Gulf of Saint Lawrence","Marine Refuge",1468.42
"Musquash Estuary Marine Protected Area",3,1,2,"medium","Atlantic","Scotian Shelf","MPA",1.53
"North of Bennett Bank Coral Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",821.14
"Northeast Channel Coral Conservation Area (restricted bottom fisheries zone)",1,0,1,"low","Atlantic","Scotian Shelf","Marine Refuge",390.9
"Northeast Newfoundland Slope Closure",1,0,1,"low","Atlantic","Newfoundland-Labrador Shelves","Marine Refuge",55353.03
"Parent Bank Sponge Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",529.64
"SG?a?an K?i?nghlas-Bowie Marine Protected Area",1,0,1,"low","Pacific","Offshore Pacific","MPA",6102.63
"Saguenay Fjord Upstream Closure",1,1,0,"high","Atlantic","Gulf of Saint Lawrence","Marine Refuge",108.5
"Saguenay-St. Lawrence Marine Park",3,1,2,"medium","Atlantic","Gulf of Saint Lawrence","National Marine Conservation Area",1247.14
"Scallop Buffer Zones (SFA 21, 22, 24)",1,1,0,"high","Atlantic","Gulf of Saint Lawrence","Marine Refuge",5424.81
"Slope of Magdalen Shallows Coral Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",334.82
"South-East of Anticosti Island Sponge Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",845.3
"St. Anns Bank Marine Protected Area",3,0,3,"low","Atlantic","Scotian Shelf","MPA",3309.52
"Strait of Georgia and Howe Sound Glass Sponge Reef (17 fisheries area closures)",1,0,1,"low","Pacific","Strait of Georgia","Marine Refuge",32.57
"Tallurutiup Imanga National Marine Conservation Area",2,0,2,"low","Arctic","Eastern Arctic","National Marine Conservation Area",108367.26
"ThT Marine Protected Area",1,0,1,"low","Pacific","Offshore Pacific","MPA",133019.62
"Tarium Niryutait Marine Protected Area",1,1,0,"high","Arctic","Western Arctic","MPA",1041.82
"Tuvaijuittuq Marine Protected Area",1,0,1,"low","Arctic","Arctic Basin","MPA",319411.37
"Western Honguedo Strait Coral Conservation Area",1,0,1,"low","Atlantic","Gulf of Saint Lawrence","Marine Refuge",495.7
"Western/Emerald Banks Conservation Area (restricted fisheries zone)",1,1,0,"high","Atlantic","Scotian Shelf","Marine Refuge",10234.12
"Xaana Kaahlii Marine Refuge",1,0,1,"low","Pacific","Northern Shelf","Marine Refuge",10.57
